% time	cellId	IMSI	RNTI	sinrLinear
0.000999999	1	1	1	1.7093e+11
0.000999999	1	1	1	1.7093e+11
0.000999999	2	2	1	1.07051e+11
0.000999999	2	2	1	1.07051e+11
0.000999999	3	3	1	0.000241681
0.000999999	3	3	1	0.000241681
0.000999999	4	4	1	0.00996612
0.000999999	4	4	1	0.00996612
0.000999999	5	5	1	0.000828261
0.000999999	5	5	1	0.000828261
0.002	2	3	2	0.647333
0.002	2	3	2	0.647333
0.002	1	5	2	0.0322177
0.002	1	5	2	0.0322177
0.003	1	1	1	1.70925e+11
0.003	1	1	1	1.70925e+11
0.003	2	2	1	1.07051e+11
0.003	2	2	1	1.07051e+11
0.003	3	3	1	0.000241681
0.003	3	3	1	0.000241681
0.003	4	4	1	0.00996612
0.003	4	4	1	0.00996612
0.003	5	5	1	0.000828261
0.003	5	5	1	0.000828261
0.004	2	3	2	0.647333
0.004	2	3	2	0.647333
0.004	1	5	2	0.0322166
0.004	1	5	2	0.0322166
0.005	1	1	1	1.70919e+11
0.005	1	1	1	1.70919e+11
0.005	2	2	1	1.07051e+11
0.005	2	2	1	1.07051e+11
0.005	3	3	1	0.000241681
0.005	3	3	1	0.000241681
0.005	4	4	1	0.00996612
0.005	4	4	1	0.00996612
0.005	5	5	1	0.000828261
0.005	5	5	1	0.000828261
0.006	2	3	2	0.647333
0.006	2	3	2	0.647333
0.006	1	5	2	0.0322156
0.006	1	5	2	0.0322156
0.007	1	1	1	1.70914e+11
0.007	1	1	1	1.70914e+11
0.007	2	2	1	1.07051e+11
0.007	2	2	1	1.07051e+11
0.007	3	3	1	0.000241681
0.007	3	3	1	0.000241681
0.007	4	4	1	0.00996612
0.007	4	4	1	0.00996612
0.007	5	5	1	0.000828261
0.007	5	5	1	0.000828261
0.008	2	3	2	0.647333
0.008	2	3	2	0.647333
0.008	1	5	2	0.0322145
0.008	1	5	2	0.0322145
0.009	1	1	1	1.70908e+11
0.009	1	1	1	1.70908e+11
0.009	2	2	1	1.07051e+11
0.009	2	2	1	1.07051e+11
0.009	3	3	1	0.000241681
0.009	3	3	1	0.000241681
0.009	4	4	1	0.00996612
0.009	4	4	1	0.00996612
0.009	5	5	1	0.000828261
0.009	5	5	1	0.000828261
0.01	2	3	2	0.647333
0.01	2	3	2	0.647333
0.01	1	5	2	0.0322135
0.01	1	5	2	0.0322135
0.011	1	1	1	1.70903e+11
0.011	1	1	1	1.70903e+11
0.011	2	2	1	1.07051e+11
0.011	2	2	1	1.07051e+11
0.011	3	3	1	0.000241681
0.011	3	3	1	0.000241681
0.011	4	4	1	0.00996612
0.011	4	4	1	0.00996612
0.011	5	5	1	0.000828261
0.011	5	5	1	0.000828261
0.012	2	3	2	0.647333
0.012	2	3	2	0.647333
0.012	1	5	2	0.0322124
0.012	1	5	2	0.0322124
0.013	1	1	1	1.70897e+11
0.013	1	1	1	1.70897e+11
0.013	2	2	1	1.07051e+11
0.013	2	2	1	1.07051e+11
0.013	3	3	1	0.000241681
0.013	3	3	1	0.000241681
0.013	4	4	1	0.00996612
0.013	4	4	1	0.00996612
0.013	5	5	1	0.000828261
0.013	5	5	1	0.000828261
0.014	2	3	2	0.647333
0.014	2	3	2	0.647333
0.014	1	5	2	0.0322113
0.014	1	5	2	0.0322113
0.015	1	1	1	1.70892e+11
0.015	1	1	1	1.70892e+11
0.015	2	2	1	1.07051e+11
0.015	2	2	1	1.07051e+11
0.015	3	3	1	0.000241681
0.015	3	3	1	0.000241681
0.015	4	4	1	0.00996612
0.015	4	4	1	0.00996612
0.015	5	5	1	0.000828261
0.015	5	5	1	0.000828261
0.016	2	3	2	0.647333
0.016	2	3	2	0.647333
0.016	1	5	2	0.0322103
0.016	1	5	2	0.0322103
0.017	1	1	1	1.70886e+11
0.017	1	1	1	1.70886e+11
0.017	2	2	1	1.07051e+11
0.017	2	2	1	1.07051e+11
0.017	3	3	1	0.000241681
0.017	3	3	1	0.000241681
0.017	4	4	1	0.00996612
0.017	4	4	1	0.00996612
0.017	5	5	1	0.000828261
0.017	5	5	1	0.000828261
0.018	2	3	2	0.647333
0.018	2	3	2	0.647333
0.018	1	5	2	0.0322092
0.018	1	5	2	0.0322092
0.019	1	1	1	1.70881e+11
0.019	1	1	1	1.70881e+11
0.019	2	2	1	1.07051e+11
0.019	2	2	1	1.07051e+11
0.019	3	3	1	0.000241681
0.019	3	3	1	0.000241681
0.019	4	4	1	0.00996612
0.019	4	4	1	0.00996612
0.019	5	5	1	0.000828261
0.019	5	5	1	0.000828261
0.02	2	3	2	0.647333
0.02	2	3	2	0.647333
0.02	1	5	2	0.0322082
0.02	1	5	2	0.0322082
0.021	1	1	1	1.70876e+11
0.021	1	1	1	1.70876e+11
0.021	2	2	1	1.07051e+11
0.021	2	2	1	1.07051e+11
0.021	3	3	1	0.000241681
0.021	3	3	1	0.000241681
0.021	4	4	1	0.00996612
0.021	4	4	1	0.00996612
0.021	5	5	1	0.000828261
0.021	5	5	1	0.000828261
0.022	2	3	2	0.647333
0.022	2	3	2	0.647333
0.022	1	5	2	0.0322071
0.022	1	5	2	0.0322071
0.023	1	1	1	1.7087e+11
0.023	1	1	1	1.7087e+11
0.023	2	2	1	1.07051e+11
0.023	2	2	1	1.07051e+11
0.023	3	3	1	0.000241681
0.023	3	3	1	0.000241681
0.023	4	4	1	0.00996612
0.023	4	4	1	0.00996612
0.023	5	5	1	0.000828261
0.023	5	5	1	0.000828261
0.024	2	3	2	0.647333
0.024	2	3	2	0.647333
0.024	1	5	2	0.0322061
0.024	1	5	2	0.0322061
0.025	1	1	1	1.70865e+11
0.025	1	1	1	1.70865e+11
0.025	2	2	1	1.07051e+11
0.025	2	2	1	1.07051e+11
0.025	3	3	1	0.000241681
0.025	3	3	1	0.000241681
0.025	4	4	1	0.00996612
0.025	4	4	1	0.00996612
0.025	5	5	1	0.000828261
0.025	5	5	1	0.000828261
0.026	2	3	2	0.647333
0.026	2	3	2	0.647333
0.026	1	5	2	0.032205
0.026	1	5	2	0.032205
0.027	1	1	1	1.70859e+11
0.027	1	1	1	1.70859e+11
0.027	2	2	1	1.07051e+11
0.027	2	2	1	1.07051e+11
0.027	3	3	1	0.000241681
0.027	3	3	1	0.000241681
0.027	4	4	1	0.00996612
0.027	4	4	1	0.00996612
0.027	5	5	1	0.000828261
0.027	5	5	1	0.000828261
0.028	2	3	2	0.647333
0.028	2	3	2	0.647333
0.028	1	5	2	0.0322039
0.028	1	5	2	0.0322039
0.029	1	1	1	1.70854e+11
0.029	1	1	1	1.70854e+11
0.029	2	2	1	1.07051e+11
0.029	2	2	1	1.07051e+11
0.029	3	3	1	0.000241681
0.029	3	3	1	0.000241681
0.029	4	4	1	0.00996612
0.029	4	4	1	0.00996612
0.029	5	5	1	0.000828261
0.029	5	5	1	0.000828261
0.03	2	3	2	0.647333
0.03	2	3	2	0.647333
0.03	1	5	2	0.0322029
0.03	1	5	2	0.0322029
0.031	1	1	1	1.70848e+11
0.031	1	1	1	1.70848e+11
0.031	2	2	1	1.07051e+11
0.031	2	2	1	1.07051e+11
0.031	3	3	1	0.000241681
0.031	3	3	1	0.000241681
0.031	4	4	1	0.00996612
0.031	4	4	1	0.00996612
0.031	5	5	1	0.000828261
0.031	5	5	1	0.000828261
0.032	2	3	2	0.647333
0.032	2	3	2	0.647333
0.032	1	5	2	0.0322018
0.032	1	5	2	0.0322018
0.033	1	1	1	1.70843e+11
0.033	1	1	1	1.70843e+11
